from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_sea_rating,dest_sea_rating,vessel_type,n_assets
19,17,744.3,0,0.0,None,3,3,none,0
19,18,887.1,0,0.0,None,3,3,none,0
19,20,3453.0,0,0.0,None,3,3,none,0
19,23,2993.7,0,0.0,None,3,3,none,0
20,8,4306.6,0,0.0,PPL-3,3,3,none,0
20,17,2899.8,0,0.0,PPL-3,3,3,none,0
20,18,2973.5,0,0.0,PPL-3,3,3,none,0
20,19,3453.0,0,0.0,PPL-3,3,3,none,0
20,23,980.8,0,0.0,PPL-3,3,3,none,0
20,24,4072.7,0,0.0,PPL-3,3,3,none,0
20,42,3662.6,0,0.0,PPL-3,3,3,none,0
20,47,2991.5,0,0.0,PPL-3,3,3,none,0
23,6,4036.6,0,0.0,None,3,3,none,0
23,8,3328.5,0,0.0,None,3,3,none,0
23,11,4194.2,0,0.0,None,3,3,none,0
23,17,2318.5,0,0.0,None,3,3,none,0
23,18,2770.0,0,0.0,None,3,3,none,0
23,19,2993.7,0,0.0,None,3,3,none,0
23,20,980.8,0,0.0,None,3,3,none,0
23,24,3706.2,0,0.0,None,3,3,none,0
23,47,2890.4,0,0.0,None,3,3,none,0
24,1,3156.2,0,0.0,PPL-3,3,3,none,0
24,2,3030.6,0,0.0,PPL-3,3,3,none,0
24,3,4014.6,0,0.0,PPL-3,3,3,none,0
24,4,2936.5,0,0.0,PPL-3,3,3,none,0
24,5,3092.8,0,0.0,PPL-3,3,3,none,0
24,8,4338.9,0,0.0,PPL-3,3,3,none,0
24,11,2226.8,0,0.0,PPL-3,3,3,none,0
24,20,4072.7,0,0.0,PPL-3,3,3,none,0
24,23,3706.2,0,0.0,PPL-3,3,3,none,0
24,27,1678.2,0,0.0,PPL-3,3,3,none,0
24,29,3415.2,0,0.0,PPL-3,3,3,none,0
24,38,3465.4,0,0.0,PPL-3,3,3,none,0
24,39,3018.7,0,0.0,PPL-3,3,3,none,0
24,45,2391.8,0,0.0,PPL-3,3,3,none,0
24,46,3131.8,0,0.0,PPL-3,3,3,none,0
24,47,1315.2,0,0.0,PPL-3,3,3,none,0
27,1,2968.7,2778000,100050.0,PPL-2,3,3,TAKE,1
27,2,2661.4,2778000,100050.0,PPL-2,3,3,TAKE,1
27,3,3707.8,2778000,100050.0,PPL-2,3,3,TAKE,1
27,4,2309.4,2778000,100050.0,PPL-2,3,3,TAKE,1
27,5,2782.9,2778000,100050.0,PPL-2,3,3,TAKE,1
27,11,3183.6,2778000,100050.0,PPL-2,3,3,TAKE,1
27,24,1678.2,2778000,100050.0,PPL-2,3,3,TAKE,1
27,29,2779.5,2778000,100050.0,PPL-2,3,3,TAKE,1
27,38,2388.6,2778000,100050.0,PPL-2,3,3,TAKE,1
27,39,1381.4,2778000,100050.0,PPL-2,3,3,TAKE,1
27,45,1157.8,2778000,100050.0,PPL-2,3,3,TAKE,1
27,46,2420.7,2778000,100050.0,PPL-2,3,3,TAKE,1
27,47,2574.5,2778000,100050.0,PPL-2,3,3,TAKE,1
29,9,3000.1,0,0.0,None,3,3,none,0
29,11,2723.9,0,0.0,None,3,3,none,0
29,24,3415.2,0,0.0,None,3,3,none,0
29,27,2779.5,0,0.0,None,3,3,none,0
29,38,901.2,0,0.0,None,3,3,none,0
29,39,2466.8,0,0.0,None,3,3,none,0
29,45,3806.4,0,0.0,None,3,3,none,0
38,9,3898.6,2778000,100050.0,PPL-2,3,3,TAKE,1
38,11,3354.8,2778000,100050.0,PPL-2,3,3,TAKE,1
38,24,3465.4,2778000,100050.0,PPL-2,3,3,TAKE,1
38,27,2388.6,2778000,100050.0,PPL-2,3,3,TAKE,1
38,29,901.2,2778000,100050.0,PPL-2,3,3,TAKE,1
38,39,1695.8,2778000,100050.0,PPL-2,3,3,TAKE,1
38,45,3240.8,2778000,100050.0,PPL-2,3,3,TAKE,1
