from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_air_rating,dest_air_rating,aircraft_type,n_assets,n_sorties_per_window
4,38,4518.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,39,2955.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,40,4440.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,41,4675.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,43,3734.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,44,3886.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,45,1278.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,46,214.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,47,2665.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,1,250.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,2,139.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,3,955.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,4,623.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,11,5311.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,15,5056.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,16,5505.3,570416,20543.600000000002,PPL-2,3,2,C17,2,2
5,20,4694.8,570416,20543.600000000002,PPL-2,3,2,C17,2,2
5,21,5292.3,570416,20543.600000000002,PPL-2,3,2,C17,2,2
5,22,3810.9,570416,20543.600000000002,PPL-2,3,2,C17,2,2
5,23,5037.0,570416,20543.600000000002,PPL-2,3,2,C17,2,2
5,24,3092.8,570416,20543.600000000002,PPL-2,3,2,C17,2,2
5,25,4199.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,26,3313.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,27,2782.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,28,3054.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,29,5560.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,30,5363.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,31,4042.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,32,3875.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,33,4627.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,34,4080.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,35,3412.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,36,3881.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,37,4153.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,38,5074.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,39,3555.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,40,4824.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,41,5265.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,43,4348.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,44,4509.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,45,1854.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,46,713.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
5,47,2535.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,7,713.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,8,730.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,9,3297.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,10,1164.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,11,3143.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,12,2229.7,570416,20543.600000000002,PPL-2,3,2,C17,2,2
6,13,2160.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,14,1969.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,15,2736.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,16,2853.0,570416,20543.600000000002,PPL-2,3,2,C17,2,2
6,17,3218.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,18,4339.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,19,3584.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,20,5010.0,570416,20543.600000000002,PPL-2,3,2,C17,2,2
6,21,4515.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
6,22,4573.2,570416,20543.600000000002,PPL-2,3,2,C17,2,2
6,23,4036.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
6,24,4890.9,570416,20543.600000000002,PPL-2,3,2,C17,2,2
6,25,3631.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,26,5294.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,28,5680.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,29,5494.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,30,4620.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,31,5740.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,32,5756.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,33,5797.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,40,4569.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
6,47,5280.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,6,713.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,8,1372.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,9,2726.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,10,654.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,11,3139.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,12,2578.4,570416,20543.600000000002,PPL-2,3,2,C17,2,2
7,13,2632.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,14,2683.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,15,3150.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,16,3488.8,570416,20543.600000000002,PPL-2,3,2,C17,2,2
7,17,3915.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
