scenario_id,objective,shortfall_cost,deficit_cost,aps_locations,num_q_positive,total_flow,status,computational_time,epicenter,severity,num_APS,base_L,redun,def_weight,short_weight
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.131986856,16,2.985009969,5,3,3,1,1
2,0,0,0,"[1, 3, 14, 24, 41]",9,13713132,2,7.676246166,16,2.985009969,5,3,3,100,1
2,0,0,0,"[1, 3, 14, 24, 41]",8,17174707,2,8.140210867,16,2.985009969,5,3,3,1000,1
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.097513914,16,2.985009969,5,3,4,1,1
2,0,0,0,"[1, 3, 14, 24, 41]",9,13713132,2,7.659622192,16,2.985009969,5,3,4,100,1
2,0,0,0,"[1, 3, 14, 24, 41]",8,17174707,2,8.153917313,16,2.985009969,5,3,4,1000,1
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.100883007,16,2.985009969,5,4,3,1,1
2,0,0,0,"[1, 3, 14, 24, 41]",9,13713132,2,8.034053326,16,2.985009969,5,4,3,100,1
2,0,0,0,"[1, 3, 14, 24, 41]",8,17174707,2,8.19383502,16,2.985009969,5,4,3,1000,1
2,0,0,0,"[1, 6, 15, 17, 23, 41]",8,9054414,2,8.429303885,16,2.985009969,6,3,3,1,1
2,0,0,0,"[1, 6, 15, 17, 23, 41]",8,9054414,2,8.371052742,16,2.985009969,6,3,3,100,1
2,0,0,0,"[1, 6, 15, 17, 23, 41]",8,9054414,2,8.436392069,16,2.985009969,6,3,3,1000,1
3,21275998,0,21275998,"[14, 24, 41]",6,15770000,2,7.566360712,3,1.400941471,3,3,3,1,1
3,21276000,21276000,0,"[14, 24, 41]",6,23011590,2,9.996540308,3,1.400941471,3,3,3,100,1
3,21276000,21276000,0,"[14, 24, 41]",6,23011590,2,9.872478008,3,1.400941471,3,3,3,1000,1
3,0,0,0,"[1, 6, 24, 41]",7,28883498,2,14.86074805,3,1.400941471,4,3,3,1,1
3,0,0,0,"[1, 15, 21, 24]",4,59465498,2,15.20732117,3,1.400941471,4,3,3,100,1
3,0,0,0,"[1, 6, 24, 41]",7,29910998,2,20.28494596,3,1.400941471,4,3,3,1000,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.927247047,3,1.400941471,5,1,3,1,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.944559336,3,1.400941471,5,1,3,100,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.045504093,3,1.400941471,5,1,3,1000,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.001679897,3,1.400941471,5,2,3,1,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.061604023,3,1.400941471,5,2,3,100,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.247653246,3,1.400941471,5,2,3,1000,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.949216127,3,1.400941471,5,3,1,1,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.939512014,3,1.400941471,5,3,1,100,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.158992052,3,1.400941471,5,3,1,1000,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.962132931,3,1.400941471,5,3,2,1,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.031500101,3,1.400941471,5,3,2,100,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.994323969,3,1.400941471,5,3,2,1000,1
